Sample	Cancer type	DITHER score	mDITHER score	cDITHER score
TCGA-E7-A6MF-01A	BLCA	2.586921886	3.092269648	2.081574124
TCGA-E7-A7DU-01A	BLCA	3.052729987	3.43957483	2.665885143
TCGA-E7-A7DV-01A	BLCA	2.882696132	3.175469537	2.589922727
TCGA-E7-A7PW-01A	BLCA	3.514160981	3.808564356	3.219757607
TCGA-E7-A7XN-01A	BLCA	2.153085718	2.228062777	2.078108659
TCGA-E7-A85H-01A	BLCA	3.417474903	3.905576988	2.929372818
TCGA-E7-A8O7-01A	BLCA	2.699115275	3.18906081	2.209169741
TCGA-E7-A8O8-01A	BLCA	3.435601339	3.936717282	2.934485396
TCGA-E7-A97P-01A	BLCA	2.654471081	2.853792633	2.455149529
TCGA-E7-A97Q-01A	BLCA	3.253890022	3.516473445	2.9913066
TCGA-FD-A3B3-01A	BLCA	2.144653968	2.08620211	2.203105827
TCGA-FD-A3B4-01A	BLCA	2.843995209	3.069645724	2.618344694
TCGA-FD-A3B5-01A	BLCA	3.22431862	3.699155676	2.749481564
TCGA-FD-A3B6-01A	BLCA	2.876986286	3.013395708	2.740576865
TCGA-FD-A3B7-01A	BLCA	2.588025473	2.625381659	2.550669288
TCGA-FD-A3B8-01A	BLCA	1.95852161	1.86737211	2.04967111
TCGA-FD-A3N5-01A	BLCA	3.221429647	3.662932247	2.779927047
TCGA-FD-A3N6-01A	BLCA	2.881345135	3.100465872	2.662224398
TCGA-FD-A3NA-01A	BLCA	2.890080417	3.299703405	2.480457429
TCGA-FD-A3SJ-01A	BLCA	3.140186966	3.469692285	2.810681647
TCGA-FD-A3SL-01A	BLCA	2.896226806	3.383976942	2.408476671
TCGA-FD-A3SM-01A	BLCA	2.905541982	3.108377127	2.702706836
TCGA-FD-A3SN-01A	BLCA	2.673585176	3.458921934	1.888248419
TCGA-FD-A3SO-01A	BLCA	2.445031614	3.009384338	1.880678889
TCGA-FD-A3SP-01A	BLCA	2.397139506	2.604959757	2.189319255
TCGA-FD-A3SQ-01A	BLCA	2.617518701	2.909342639	2.325694764
TCGA-FD-A3SR-01A	BLCA	3.041702278	3.247933331	2.835471225
TCGA-FD-A3SS-01A	BLCA	2.877954818	3.509599375	2.246310261
TCGA-FD-A43N-01A	BLCA	3.148901169	3.334097784	2.963704555
TCGA-FD-A43P-01A	BLCA	3.125819642	3.086921139	3.164718144
TCGA-FD-A43S-01A	BLCA	1.504059215	1	2.00811843
TCGA-FD-A43U-01A	BLCA	2.106286323	2.175906008	2.036666637
TCGA-FD-A43X-01A	BLCA	3.152982722	3.67596121	2.630004233
TCGA-FD-A43Y-01A	BLCA	3.109863226	2.991373472	3.228352979
TCGA-FD-A5BR-01A	BLCA	2.961730188	3.230248333	2.693212043
TCGA-FD-A5BS-01A	BLCA	1.892737805	1.49734627	2.288129339
TCGA-FD-A5BT-01A	BLCA	2.342540075	2.250648803	2.434431346
TCGA-FD-A5BU-01A	BLCA	2.611197525	2.726936269	2.49545878
TCGA-FD-A5BV-01A	BLCA	3.343073773	3.777315564	2.908831983
TCGA-FD-A5BX-01A	BLCA	2.81203142	2.974341866	2.649720973
TCGA-FD-A5BY-01A	BLCA	3.07692595	3.488401181	2.665450718
TCGA-FD-A5BZ-01A	BLCA	3.108132942	3.083965165	3.132300719
TCGA-FD-A5C0-01A	BLCA	3.196736311	3.519905429	2.873567193
TCGA-FD-A5C1-01A	BLCA	2.884436775	2.901855112	2.867018439
TCGA-FD-A62N-01A	BLCA	2.344695988	2.286072889	2.403319087
TCGA-FD-A62O-01A	BLCA	3.35287173	3.80440617	2.901337289
TCGA-FD-A62P-01A	BLCA	2.437052587	2.637504768	2.236600406
TCGA-FD-A62S-01A	BLCA	2.704454241	2.607177055	2.801731426
TCGA-FD-A6TA-01A	BLCA	2.771972233	3.110381076	2.43356339
TCGA-FD-A6TB-01A	BLCA	2.331954505	2.185639761	2.478269249
TCGA-FD-A6TC-01A	BLCA	3.258963383	3.567456057	2.95047071
TCGA-FD-A6TD-01A	BLCA	2.756962886	3.205578682	2.30834709
TCGA-FD-A6TE-01A	BLCA	3.33562905	3.930671038	2.740587063
TCGA-FD-A6TF-01A	BLCA	2.629007483	2.777192367	2.4808226
TCGA-FD-A6TG-01A	BLCA	2.585107965	2.788223144	2.381992786
TCGA-FD-A6TH-01A	BLCA	3.270005614	3.779291029	2.760720199
TCGA-FD-A6TI-01A	BLCA	2.921070049	3.359482084	2.482658014
TCGA-FD-A6TK-01A	BLCA	2.45785188	2.668337972	2.247365788
TCGA-FJ-A3Z7-01A	BLCA	3.077361762	3.228598946	2.926124578
TCGA-FJ-A3Z9-01A	BLCA	2.859172771	3.186760402	2.531585139
TCGA-FJ-A3ZE-01A	BLCA	3.419116026	3.916907447	2.921324604
TCGA-FJ-A3ZF-01A	BLCA	3.324086082	3.886168124	2.76200404
TCGA-FJ-A871-01A	BLCA	2.379342158	2.536155242	2.222529075
TCGA-FT-A3EE-01A	BLCA	3.087676412	3.622501362	2.552851462
TCGA-FT-A61P-01A	BLCA	2.708701799	2.713247736	2.704155862
TCGA-G2-A2EC-01A	BLCA	2.487840698	2.987559414	1.988121982
TCGA-G2-A2EF-01A	BLCA	3.201882628	3.708852869	2.694912387
TCGA-G2-A2EJ-01A	BLCA	2.81636851	2.988002361	2.64473466
TCGA-G2-A2EK-01A	BLCA	2.698655479	2.967743993	2.429566965
TCGA-G2-A2EL-01A	BLCA	2.643372213	3.350527904	1.936216523
TCGA-G2-A2EO-01A	BLCA	2.861328571	3.090998226	2.631658916
TCGA-G2-A2ES-01A	BLCA	2.813562263	2.987427641	2.639696886
TCGA-G2-A3IB-01A	BLCA	2.656464435	3.616756872	1.696171998
TCGA-G2-A3IE-01A	BLCA	3.230444374	3.542815144	2.918073603
TCGA-G2-A3VY-01A	BLCA	3.480206659	3.855877503	3.104535814
TCGA-G2-AA3B-01A	BLCA	3.280964166	3.697578022	2.86435031
TCGA-G2-AA3C-01A	BLCA	2.736454954	3.128829842	2.344080065
TCGA-G2-AA3D-01A	BLCA	2.613843803	2.753647654	2.474039953
TCGA-G2-AA3F-01A	BLCA	3.180883068	3.673061983	2.688704153
TCGA-GC-A3BM-01A	BLCA	3.037900738	3.710612407	2.365189068
TCGA-GC-A3I6-01A	BLCA	2.875634361	3.399479472	2.351789249
TCGA-GC-A3OO-01A	BLCA	2.304111897	2.31861563	2.289608164
TCGA-GC-A3RB-01A	BLCA	3.414801218	3.618820938	3.210781498
TCGA-GC-A3RC-01A	BLCA	3.08184304	3.71481945	2.448866631
TCGA-GC-A3RD-01A	BLCA	3.040146204	3.465117808	2.615174601
TCGA-GC-A3WC-01A	BLCA	2.230142813	2.421289673	2.038995953
TCGA-GC-A3YS-01A	BLCA	3.232503075	3.635922719	2.829083432
TCGA-GC-A4ZW-01A	BLCA	3.469152071	3.349072591	3.58923155
TCGA-GC-A6I1-01A	BLCA	2.777774911	2.996723746	2.558826077
TCGA-GC-A6I3-01A	BLCA	2.624061131	2.587435616	2.660686645
TCGA-GD-A2C5-01A	BLCA	3.050445557	3.170758985	2.930132128
TCGA-GD-A3OP-01A	BLCA	1.883970665	1.80198839	1.965952939
TCGA-GD-A3OQ-01A	BLCA	2.506871292	3.18534108	1.828401504
TCGA-GD-A3OS-01A	BLCA	3.31216402	3.692407209	2.931920831
TCGA-GD-A6C6-01A	BLCA	3.322883457	3.856966261	2.788800654
TCGA-GD-A76B-01A	BLCA	2.407150775	2.791336833	2.022964717
TCGA-GU-A42P-01A	BLCA	3.239818564	3.599303397	2.880333731
TCGA-GU-A42Q-01A	BLCA	2.698036197	3.30838953	2.087682863
TCGA-GU-A42R-01A	BLCA	2.886287305	3.379164688	2.393409923
TCGA-GU-A762-01A	BLCA	2.67539905	2.824032046	2.526766055
TCGA-GU-A763-01A	BLCA	2.600486396	3.220441116	1.980531675
TCGA-GU-A764-01A	BLCA	2.291423975	2.347401098	2.235446852
TCGA-GU-A766-01A	BLCA	2.646835962	3.040495295	2.253176629
TCGA-GU-A767-01A	BLCA	2.522414365	2.806502323	2.238326408
TCGA-GU-AATO-01A	BLCA	2.878056361	3.027071159	2.729041564
TCGA-GU-AATP-01A	BLCA	3.095333053	3.591978742	2.598687364
TCGA-GU-AATQ-01A	BLCA	3.199800512	3.732979242	2.666621782
TCGA-GV-A3JV-01A	BLCA	3.113779252	3.456802387	2.770756118
TCGA-GV-A3JW-01A	BLCA	3.366051836	3.579430285	3.152673387
TCGA-GV-A3JX-01A	BLCA	3.159206474	3.791115779	2.527297169
TCGA-GV-A3JZ-01A	BLCA	3.484340723	3.94477014	3.023911307
TCGA-GV-A3QF-01A	BLCA	3.137844256	3.462615652	2.813072859
TCGA-GV-A3QG-01A	BLCA	2.520394293	2.813129643	2.227658943
TCGA-GV-A3QH-01A	BLCA	3.340769168	3.819987297	2.861551038
